Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_139281.2 951 915 0.426 0.340 0.466 0.513 0.399 0.365 0.200 0.309 0.341 0.218 0.220 0.172 0.287 0.292 0.294 0.295 0.179 0.192
NM_007075.3 361 352 0.558 0.696 0.491 0.560 0.410 0.704 0.183 0.296 0.205 0.244 0.213 0.407 0.258 0.294 0.091 0.316 0.197 0.296
NM_001128.5 822 791 0.441 0.398 0.461 0.515 0.387 0.421 0.174 0.313 0.302 0.220 0.240 0.203 0.311 0.300 0.277 0.294 0.147 0.218
NM_017944.3 1287 1244 0.404 0.324 0.441 0.510 0.354 0.347 0.190 0.258 0.357 0.184 0.179 0.137 0.300 0.388 0.297 0.326 0.176 0.210
NM_001173.2 1501 1466 0.374 0.272 0.423 0.494 0.338 0.289 0.185 0.271 0.376 0.207 0.207 0.124 0.321 0.390 0.335 0.287 0.131 0.165
NM_022734.2 456 438 0.533 0.489 0.554 0.621 0.469 0.509 0.178 0.270 0.276 0.311 0.261 0.221 0.202 0.261 0.215 0.309 0.208 0.287
NM_000382.2 485 470 0.451 0.440 0.456 0.551 0.344 0.458 0.146 0.330 0.322 0.233 0.184 0.208 0.303 0.326 0.221 0.318 0.161 0.249
NM_013247.4 458 446 0.600 0.592 0.605 0.666 0.533 0.603 0.122 0.277 0.247 0.277 0.299 0.277 0.212 0.190 0.151 0.389 0.234 0.325
NM_005710.2 265 259 0.594 0.668 0.558 0.645 0.460 0.675 0.132 0.128 0.151 0.264 0.245 0.362 0.223 0.411 0.174 0.381 0.215 0.313
NM_004501.3 806 781 0.497 0.461 0.514 0.603 0.411 0.478 0.133 0.187 0.267 0.202 0.184 0.206 0.264 0.402 0.256 0.401 0.227 0.272
NM_015962.4 198 190 0.418 0.416 0.418 0.460 0.354 0.439 0.177 0.268 0.263 0.217 0.182 0.212 0.364 0.379 0.298 0.242 0.172 0.227
NM_033420.3 408 387 0.632 0.897 0.509 0.600 0.392 0.902 0.167 0.355 0.064 0.292 0.213 0.522 0.233 0.252 0.034 0.309 0.179 0.380
NM_001033088.1 291 284 0.549 0.588 0.530 0.588 0.460 0.598 0.144 0.230 0.192 0.254 0.234 0.247 0.268 0.309 0.210 0.333 0.227 0.351
NM_006369.4 812 785 0.591 0.615 0.579 0.633 0.511 0.628 0.174 0.266 0.212 0.320 0.291 0.317 0.193 0.223 0.160 0.313 0.220 0.312
NM_020889.2 704 686 0.556 0.603 0.534 0.558 0.497 0.614 0.152 0.207 0.207 0.284 0.297 0.331 0.290 0.295 0.179 0.274 0.200 0.283
NM_002745.4 360 348 0.476 0.560 0.436 0.517 0.336 0.575 0.186 0.300 0.222 0.233 0.200 0.319 0.297 0.364 0.203 0.283 0.136 0.256
NM_001324.2 431 416 0.465 0.459 0.468 0.492 0.425 0.478 0.206 0.258 0.299 0.197 0.246 0.274 0.302 0.318 0.223 0.295 0.179 0.204
NM_016494.3 153 146 0.540 0.630 0.498 0.595 0.379 0.647 0.183 0.242 0.216 0.294 0.222 0.307 0.222 0.379 0.137 0.301 0.157 0.340
NM_016589.3 285 277 0.483 0.412 0.517 0.607 0.414 0.428 0.140 0.267 0.305 0.249 0.211 0.186 0.253 0.319 0.267 0.358 0.204 0.242
NM_015035.3 956 924 0.540 0.590 0.517 0.570 0.448 0.604 0.136 0.223 0.204 0.247 0.276 0.309 0.294 0.329 0.192 0.323 0.172 0.295
NM_003252.3 375 354 0.433 0.297 0.495 0.525 0.437 0.336 0.189 0.227 0.331 0.203 0.237 0.155 0.285 0.336 0.333 0.323 0.200 0.181
NM_176867.3 168 162 0.470 0.438 0.485 0.518 0.435 0.458 0.214 0.238 0.298 0.220 0.232 0.196 0.268 0.327 0.244 0.298 0.202 0.262
NM_015636.3 522 510 0.540 0.524 0.548 0.646 0.441 0.534 0.134 0.262 0.238 0.295 0.251 0.220 0.220 0.297 0.228 0.351 0.190 0.314
NM_002810.2 377 364 0.537 0.582 0.515 0.615 0.398 0.597 0.095 0.255 0.263 0.215 0.241 0.276 0.289 0.347 0.141 0.401 0.156 0.321
NM_001035505.1 101 94 0.521 0.479 0.541 0.525 0.525 0.515 0.139 0.267 0.257 0.287 0.297 0.277 0.337 0.208 0.228 0.238 0.228 0.238
NM_003001.3 169 156 0.513 0.526 0.507 0.538 0.438 0.562 0.213 0.367 0.308 0.278 0.243 0.254 0.249 0.195 0.130 0.260 0.195 0.308
NM_001033583.2 439 417 0.456 0.460 0.453 0.499 0.380 0.487 0.194 0.314 0.282 0.207 0.196 0.196 0.308 0.305 0.230 0.292 0.185 0.292
NM_153681.2 158 149 0.414 0.409 0.415 0.443 0.354 0.443 0.259 0.373 0.272 0.209 0.241 0.247 0.297 0.272 0.285 0.234 0.114 0.196
NM_003751.3 814 777 0.554 0.667 0.502 0.586 0.394 0.682 0.156 0.246 0.178 0.211 0.220 0.312 0.258 0.360 0.140 0.375 0.174 0.370
NM_001207.4 162 158 0.444 0.411 0.460 0.549 0.358 0.426 0.086 0.259 0.284 0.191 0.241 0.179 0.364 0.383 0.290 0.358 0.117 0.247
NM_001568.2 445 425 0.398 0.367 0.412 0.485 0.312 0.396 0.209 0.317 0.348 0.204 0.184 0.173 0.306 0.371 0.256 0.281 0.128 0.222
NM_030579.2 150 144 0.496 0.500 0.493 0.547 0.420 0.520 0.207 0.233 0.247 0.173 0.200 0.300 0.247 0.347 0.233 0.373 0.220 0.220
NM_002911.3 1118 1085 0.606 0.799 0.514 0.599 0.414 0.805 0.144 0.260 0.118 0.272 0.223 0.413 0.257 0.326 0.077 0.327 0.191 0.392
NM_018279.3 336 317 0.444 0.391 0.469 0.473 0.435 0.426 0.226 0.360 0.339 0.170 0.241 0.199 0.301 0.205 0.235 0.304 0.193 0.226
NM_001039697.1 411 399 0.484 0.481 0.486 0.547 0.409 0.496 0.200 0.255 0.290 0.202 0.187 0.248 0.253 0.336 0.214 0.345 0.221 0.248
NM_006643.3 412 404 0.570 0.651 0.530 0.619 0.432 0.658 0.160 0.235 0.189 0.265 0.265 0.311 0.221 0.333 0.153 0.354 0.167 0.347
NM_006706.3 1098 1047 0.474 0.364 0.525 0.584 0.444 0.393 0.128 0.207 0.282 0.258 0.321 0.147 0.289 0.350 0.324 0.326 0.122 0.247
NM_025141.3 221 211 0.526 0.578 0.502 0.489 0.493 0.597 0.253 0.290 0.262 0.217 0.213 0.348 0.258 0.217 0.140 0.271 0.281 0.249
NM_004493.2 261 255 0.582 0.620 0.564 0.663 0.456 0.628 0.100 0.307 0.207 0.234 0.257 0.318 0.238 0.238 0.165 0.429 0.199 0.310
NM_017765.2 291 278 0.619 0.856 0.508 0.550 0.443 0.863 0.227 0.357 0.100 0.275 0.237 0.481 0.223 0.199 0.038 0.275 0.206 0.381
NM_018396.2 378 366 0.472 0.489 0.464 0.545 0.365 0.505 0.188 0.265 0.288 0.233 0.175 0.241 0.267 0.370 0.206 0.312 0.190 0.265
NM_020233.4 342 328 0.426 0.390 0.443 0.529 0.333 0.415 0.213 0.284 0.351 0.216 0.170 0.237 0.257 0.383 0.234 0.313 0.164 0.178
NM_024715.3 360 344 0.508 0.485 0.519 0.594 0.422 0.508 0.169 0.300 0.272 0.239 0.236 0.233 0.236 0.278 0.219 0.356 0.186 0.275
NM_004607.2 108 103 0.420 0.417 0.421 0.574 0.241 0.444 0.120 0.269 0.167 0.167 0.130 0.157 0.306 0.491 0.389 0.407 0.111 0.287
NM_018233.3 542 520 0.458 0.500 0.439 0.513 0.341 0.520 0.203 0.266 0.279 0.220 0.190 0.238 0.284 0.393 0.201 0.293 0.151 0.282
NM_006251.5 559 539 0.416 0.340 0.452 0.508 0.376 0.363 0.182 0.281 0.340 0.216 0.195 0.168 0.309 0.343 0.297 0.292 0.181 0.195
NM_003574.5 294 280 0.438 0.375 0.467 0.497 0.412 0.405 0.146 0.272 0.286 0.204 0.272 0.184 0.357 0.316 0.310 0.293 0.139 0.221
NM_032558.2 506 479 0.509 0.511 0.507 0.538 0.451 0.538 0.213 0.354 0.267 0.206 0.259 0.261 0.249 0.196 0.196 0.332 0.192 0.277
NM_032560.4 820 790 0.402 0.337 0.433 0.521 0.324 0.361 0.194 0.304 0.320 0.200 0.201 0.155 0.285 0.372 0.320 0.321 0.123 0.206
NM_017670.2 271 266 0.566 0.793 0.455 0.594 0.306 0.797 0.177 0.273 0.137 0.262 0.177 0.421 0.229 0.421 0.066 0.332 0.129 0.376
NM_001605.2 968 936 0.532 0.601 0.499 0.597 0.385 0.615 0.135 0.279 0.238 0.210 0.213 0.304 0.268 0.336 0.148 0.387 0.173 0.311
NM_152734.3 354 335 0.495 0.531 0.479 0.542 0.387 0.556 0.209 0.311 0.257 0.266 0.226 0.268 0.249 0.302 0.186 0.277 0.161 0.288
NM_152455.3 852 832 0.505 0.484 0.516 0.573 0.447 0.496 0.160 0.195 0.254 0.244 0.204 0.224 0.268 0.358 0.250 0.329 0.243 0.272
NM_017856.2 242 229 0.532 0.568 0.515 0.570 0.434 0.591 0.207 0.161 0.223 0.264 0.252 0.273 0.223 0.405 0.186 0.306 0.182 0.318
NM_002643.3 219 208 0.382 0.332 0.405 0.374 0.406 0.365 0.324 0.402 0.311 0.169 0.228 0.187 0.301 0.192 0.324 0.205 0.178 0.178
NM_006819.2 543 524 0.506 0.613 0.456 0.565 0.328 0.626 0.127 0.212 0.177 0.238 0.199 0.298 0.308 0.460 0.197 0.328 0.129 0.328
NM_006954.1 811 796 0.399 0.369 0.413 0.453 0.363 0.381 0.232 0.194 0.309 0.212 0.173 0.174 0.316 0.444 0.309 0.240 0.190 0.207
NM_005701.3 360 343 0.495 0.551 0.469 0.531 0.383 0.572 0.203 0.244 0.247 0.236 0.203 0.278 0.267 0.372 0.181 0.294 0.181 0.294
NM_017580.2 708 675 0.445 0.341 0.494 0.520 0.445 0.371 0.216 0.236 0.347 0.203 0.219 0.150 0.264 0.319 0.281 0.316 0.226 0.222
NM_032226.2 543 527 0.426 0.389 0.444 0.488 0.383 0.407 0.197 0.180 0.308 0.199 0.186 0.206 0.315 0.436 0.285 0.289 0.197 0.201
NM_003185.3 1085 1071 0.669 0.725 0.642 0.697 0.582 0.728 0.081 0.196 0.116 0.326 0.418 0.362 0.222 0.221 0.156 0.371 0.164 0.366
NM_015514.1 311 302 0.483 0.477 0.487 0.605 0.354 0.492 0.106 0.257 0.283 0.277 0.186 0.167 0.289 0.389 0.225 0.328 0.167 0.325
NM_016018.4 1017 984 0.425 0.340 0.466 0.517 0.397 0.362 0.182 0.209 0.319 0.210 0.227 0.150 0.301 0.393 0.320 0.307 0.170 0.211
NM_014042.2 121 112 0.507 0.571 0.478 0.678 0.240 0.603 0.124 0.198 0.248 0.223 0.149 0.231 0.198 0.562 0.149 0.455 0.091 0.372
NM_005216.4 456 446 0.557 0.711 0.483 0.557 0.397 0.717 0.202 0.318 0.200 0.228 0.224 0.421 0.241 0.285 0.083 0.329 0.173 0.296
NM_018293.2 581 572 0.372 0.264 0.424 0.480 0.360 0.275 0.188 0.229 0.398 0.194 0.200 0.120 0.332 0.411 0.327 0.286 0.160 0.155
NM_014299.2 722 699 0.558 0.674 0.503 0.562 0.428 0.684 0.120 0.194 0.148 0.278 0.307 0.341 0.317 0.378 0.168 0.284 0.120 0.343
NM_032193.3 164 159 0.669 0.786 0.613 0.720 0.494 0.793 0.122 0.262 0.098 0.274 0.274 0.396 0.159 0.244 0.110 0.445 0.220 0.396
NM_014507.3 180 174 0.678 0.764 0.637 0.750 0.511 0.772 0.133 0.289 0.117 0.300 0.272 0.378 0.117 0.200 0.111 0.450 0.239 0.394
NM_004427.3 323 313 0.574 0.684 0.521 0.588 0.440 0.693 0.149 0.232 0.152 0.291 0.257 0.362 0.263 0.328 0.155 0.297 0.183 0.331
NM_003000.2 280 266 0.500 0.560 0.472 0.486 0.432 0.582 0.200 0.236 0.232 0.200 0.239 0.325 0.314 0.332 0.186 0.286 0.193 0.257
NM_000696.3 518 498 0.494 0.466 0.508 0.556 0.440 0.486 0.181 0.295 0.288 0.180 0.245 0.241 0.263 0.264 0.226 0.376 0.195 0.245
NM_023923.3 712 695 0.485 0.407 0.523 0.556 0.478 0.421 0.122 0.202 0.271 0.270 0.322 0.218 0.322 0.320 0.308 0.287 0.156 0.204
NM_004859.3 1675 1616 0.422 0.366 0.449 0.548 0.331 0.388 0.178 0.306 0.354 0.226 0.193 0.173 0.274 0.362 0.258 0.322 0.139 0.215
NM_020642.3 210 204 0.544 0.539 0.547 0.610 0.471 0.552 0.162 0.214 0.219 0.233 0.267 0.243 0.229 0.314 0.229 0.376 0.205 0.310
NM_032683.2 206 194 0.642 0.789 0.575 0.641 0.485 0.801 0.228 0.316 0.107 0.316 0.214 0.432 0.131 0.199 0.092 0.325 0.272 0.369
NM_007171.3 747 700 0.569 0.719 0.501 0.564 0.407 0.736 0.217 0.343 0.146 0.274 0.198 0.382 0.220 0.250 0.118 0.289 0.209 0.355
NM_001042371.2 321 313 0.692 0.875 0.603 0.710 0.486 0.879 0.100 0.277 0.075 0.283 0.246 0.514 0.190 0.237 0.047 0.427 0.240 0.364
NM_001013657.2 385 377 0.589 0.634 0.567 0.688 0.436 0.642 0.138 0.296 0.218 0.351 0.249 0.301 0.174 0.268 0.140 0.338 0.187 0.340
NM_018107.4 423 412 0.532 0.478 0.558 0.612 0.492 0.492 0.123 0.227 0.338 0.270 0.229 0.241 0.265 0.281 0.170 0.343 0.262 0.251
NM_182972.2 587 574 0.676 0.779 0.627 0.659 0.586 0.784 0.136 0.175 0.104 0.296 0.373 0.409 0.204 0.239 0.112 0.363 0.213 0.375
NM_018149.6 991 962 0.486 0.413 0.521 0.587 0.441 0.430 0.178 0.246 0.316 0.272 0.235 0.216 0.235 0.313 0.254 0.315 0.206 0.214
NM_020195.2 293 284 0.604 0.644 0.585 0.669 0.488 0.655 0.126 0.294 0.164 0.276 0.270 0.379 0.205 0.218 0.181 0.392 0.218 0.276
NM_004500.3 293 286 0.479 0.472 0.482 0.580 0.372 0.485 0.140 0.205 0.304 0.157 0.198 0.205 0.280 0.423 0.212 0.423 0.174 0.280
NM_014803.3 1483 1447 0.362 0.263 0.409 0.427 0.378 0.281 0.204 0.248 0.357 0.180 0.229 0.123 0.369 0.374 0.362 0.247 0.149 0.158
NM_014739.2 920 905 0.425 0.306 0.484 0.465 0.493 0.317 0.203 0.122 0.349 0.188 0.253 0.146 0.332 0.385 0.334 0.277 0.240 0.172
NM_001077637.1 254 246 0.461 0.459 0.461 0.476 0.429 0.476 0.197 0.283 0.268 0.165 0.228 0.224 0.327 0.287 0.256 0.311 0.201 0.252
NM_024740.2 618 590 0.465 0.454 0.471 0.503 0.414 0.479 0.262 0.330 0.314 0.238 0.228 0.233 0.235 0.256 0.207 0.265 0.186 0.246
NM_001078172.1 113 106 0.631 0.877 0.519 0.602 0.407 0.885 0.150 0.319 0.080 0.283 0.221 0.442 0.248 0.274 0.035 0.319 0.186 0.442
NM_003192.2 346 337 0.595 0.727 0.532 0.621 0.431 0.734 0.150 0.243 0.147 0.272 0.214 0.358 0.228 0.327 0.118 0.350 0.217 0.376
NM_177452.3 130 123 0.410 0.439 0.397 0.431 0.331 0.469 0.223 0.346 0.254 0.123 0.162 0.131 0.346 0.323 0.277 0.308 0.169 0.338
NM_203390.2 1001 979 0.465 0.392 0.500 0.571 0.419 0.406 0.189 0.240 0.338 0.258 0.204 0.165 0.240 0.342 0.257 0.314 0.215 0.241
NM_006452.3 425 408 0.425 0.336 0.467 0.506 0.407 0.362 0.191 0.280 0.327 0.172 0.216 0.153 0.304 0.313 0.311 0.334 0.191 0.209
NM_005153.2 798 785 0.496 0.483 0.502 0.563 0.434 0.491 0.162 0.246 0.289 0.231 0.261 0.263 0.276 0.321 0.219 0.332 0.173 0.228
NM_004459.6 2903 2826 0.457 0.406 0.482 0.518 0.432 0.421 0.147 0.204 0.274 0.207 0.269 0.190 0.334 0.364 0.305 0.311 0.162 0.231
NM_032364.5 702 670 0.535 0.494 0.554 0.604 0.483 0.517 0.182 0.222 0.265 0.268 0.229 0.215 0.214 0.295 0.218 0.336 0.254 0.302
NM_004328.4 419 403 0.558 0.618 0.530 0.613 0.430 0.632 0.158 0.296 0.227 0.296 0.205 0.327 0.229 0.274 0.141 0.317 0.224 0.305
NM_003588.3 913 881 0.398 0.368 0.412 0.467 0.336 0.390 0.192 0.285 0.321 0.184 0.203 0.183 0.342 0.379 0.289 0.283 0.134 0.207
NM_001080452.1 543 524 0.589 0.823 0.478 0.564 0.374 0.829 0.184 0.348 0.090 0.258 0.186 0.457 0.252 0.278 0.081 0.306 0.188 0.372
NM_004819.2 1274 1232 0.605 0.795 0.514 0.625 0.388 0.801 0.120 0.303 0.095 0.297 0.249 0.390 0.255 0.309 0.104 0.327 0.139 0.411
NM_017974.3 588 568 0.503 0.514 0.497 0.570 0.408 0.531 0.156 0.253 0.245 0.224 0.211 0.243 0.274 0.338 0.224 0.345 0.197 0.287
NM_014866.1 2357 2298 0.578 0.565 0.584 0.632 0.527 0.576 0.159 0.191 0.246 0.303 0.327 0.286 0.209 0.282 0.178 0.329 0.199 0.290
NM_016484.4 140 137 0.502 0.533 0.488 0.600 0.364 0.543 0.143 0.271 0.293 0.286 0.214 0.271 0.257 0.364 0.164 0.314 0.150 0.271
NM_013329.3 815 792 0.450 0.390 0.479 0.552 0.390 0.407 0.171 0.226 0.292 0.216 0.211 0.177 0.277 0.384 0.301 0.336 0.179 0.231
NM_015167.2 403 385 0.533 0.634 0.485 0.499 0.449 0.650 0.201 0.208 0.184 0.201 0.223 0.333 0.300 0.342 0.166 0.298 0.226 0.318
NM_016287.3 553 542 0.473 0.452 0.483 0.521 0.436 0.463 0.145 0.186 0.255 0.208 0.289 0.175 0.335 0.378 0.282 0.313 0.146 0.288
NM_015836.3 360 348 0.512 0.560 0.489 0.589 0.372 0.575 0.153 0.303 0.200 0.250 0.233 0.289 0.258 0.325 0.225 0.339 0.139 0.286
NM_014789.3 536 531 0.473 0.518 0.450 0.496 0.399 0.522 0.201 0.215 0.278 0.233 0.164 0.246 0.302 0.386 0.200 0.263 0.235 0.276
NM_021994.2 450 437 0.404 0.387 0.412 0.496 0.311 0.404 0.209 0.273 0.329 0.204 0.151 0.189 0.296 0.416 0.267 0.291 0.160 0.216
NM_014982.2 2341 2283 0.465 0.417 0.488 0.517 0.446 0.432 0.204 0.266 0.330 0.223 0.240 0.234 0.279 0.289 0.238 0.294 0.205 0.198
NM_002270.3 898 858 0.417 0.354 0.447 0.538 0.331 0.383 0.183 0.327 0.352 0.242 0.189 0.176 0.280 0.342 0.265 0.296 0.141 0.207
NM_002804.4 439 423 0.557 0.726 0.478 0.599 0.337 0.736 0.093 0.294 0.157 0.230 0.198 0.319 0.308 0.369 0.107 0.369 0.139 0.417
NM_005930.3 804 778 0.415 0.271 0.483 0.552 0.397 0.295 0.183 0.234 0.345 0.238 0.251 0.107 0.265 0.369 0.361 0.315 0.146 0.188
NM_004685.3 621 600 0.406 0.377 0.420 0.469 0.351 0.398 0.235 0.279 0.330 0.206 0.193 0.198 0.296 0.370 0.272 0.262 0.158 0.200
NM_006197.3 2024 1967 0.401 0.287 0.456 0.517 0.380 0.307 0.160 0.214 0.355 0.202 0.226 0.118 0.323 0.406 0.338 0.315 0.154 0.189
NM_194280.3 240 232 0.588 0.659 0.553 0.571 0.521 0.671 0.192 0.312 0.188 0.296 0.246 0.383 0.237 0.167 0.142 0.275 0.275 0.287
NM_001083614.1 523 506 0.600 0.735 0.535 0.650 0.405 0.744 0.132 0.294 0.141 0.323 0.201 0.350 0.218 0.300 0.115 0.327 0.205 0.394
NM_003683.5 461 445 0.596 0.728 0.533 0.629 0.421 0.738 0.095 0.239 0.156 0.282 0.200 0.286 0.275 0.341 0.106 0.347 0.221 0.451
NM_014574.3 713 689 0.445 0.331 0.499 0.558 0.424 0.353 0.175 0.237 0.331 0.191 0.240 0.150 0.266 0.339 0.316 0.367 0.184 0.203
NM_017787.4 342 336 0.586 0.640 0.559 0.623 0.488 0.646 0.173 0.190 0.199 0.327 0.243 0.383 0.205 0.322 0.155 0.295 0.246 0.263
NM_017706.4 383 368 0.574 0.622 0.551 0.645 0.439 0.637 0.125 0.251 0.227 0.232 0.209 0.324 0.230 0.311 0.136 0.413 0.230 0.313
NM_007282.4 381 374 0.398 0.337 0.428 0.507 0.339 0.349 0.202 0.304 0.344 0.184 0.210 0.218 0.291 0.357 0.307 0.323 0.129 0.131
NM_001039590.2 2570 2473 0.412 0.315 0.458 0.532 0.364 0.341 0.192 0.286 0.369 0.228 0.196 0.156 0.276 0.350 0.290 0.304 0.168 0.186
NM_015601.3 1049 1019 0.399 0.308 0.442 0.514 0.355 0.328 0.206 0.315 0.375 0.199 0.182 0.141 0.280 0.331 0.297 0.315 0.173 0.187
NM_018139.2 837 823 0.580 0.628 0.557 0.631 0.476 0.634 0.164 0.216 0.194 0.262 0.276 0.305 0.205 0.308 0.172 0.369 0.200 0.330
NM_022495.5 938 891 0.398 0.323 0.433 0.472 0.366 0.357 0.252 0.357 0.338 0.196 0.212 0.166 0.276 0.277 0.305 0.276 0.154 0.191
NM_001085458.1 968 940 0.509 0.499 0.514 0.596 0.418 0.513 0.148 0.228 0.283 0.245 0.223 0.231 0.256 0.353 0.204 0.351 0.195 0.282
NM_021090.3 1198 1160 0.527 0.547 0.518 0.573 0.447 0.562 0.183 0.236 0.255 0.265 0.228 0.280 0.244 0.317 0.184 0.309 0.219 0.281
NM_032125.2 208 193 0.601 0.808 0.508 0.543 0.438 0.822 0.207 0.312 0.111 0.231 0.250 0.462 0.250 0.250 0.067 0.312 0.188 0.361
NM_014551.4 299 286 0.613 0.762 0.543 0.642 0.425 0.773 0.137 0.251 0.137 0.254 0.271 0.371 0.221 0.324 0.090 0.388 0.154 0.401
NM_004966.3 415 399 0.545 0.627 0.506 0.554 0.439 0.641 0.171 0.243 0.205 0.169 0.188 0.340 0.275 0.318 0.154 0.386 0.251 0.301
NM_020727.4 1066 1049 0.465 0.446 0.474 0.517 0.422 0.455 0.199 0.232 0.289 0.245 0.256 0.233 0.284 0.346 0.256 0.272 0.166 0.222
NM_004087.2 926 910 0.414 0.314 0.463 0.533 0.382 0.326 0.151 0.259 0.343 0.200 0.219 0.170 0.315 0.359 0.330 0.334 0.163 0.157
NM_019054.2 835 816 0.384 0.298 0.426 0.484 0.356 0.314 0.206 0.296 0.354 0.194 0.206 0.139 0.310 0.349 0.332 0.290 0.150 0.175
NM_152383.4 885 861 0.539 0.620 0.501 0.599 0.389 0.631 0.153 0.278 0.198 0.260 0.219 0.329 0.249 0.333 0.172 0.339 0.169 0.302
NM_030912.2 551 538 0.640 0.868 0.530 0.628 0.421 0.871 0.171 0.227 0.065 0.328 0.227 0.446 0.201 0.352 0.064 0.299 0.194 0.425
NM_018358.2 709 691 0.565 0.664 0.517 0.633 0.389 0.673 0.137 0.286 0.195 0.274 0.192 0.303 0.230 0.324 0.133 0.360 0.197 0.370
NM_024691.3 510 497 0.462 0.451 0.468 0.504 0.418 0.465 0.200 0.220 0.306 0.229 0.175 0.224 0.296 0.363 0.229 0.275 0.243 0.241
NM_144636.2 155 150 0.499 0.493 0.502 0.568 0.419 0.510 0.181 0.161 0.200 0.168 0.245 0.252 0.252 0.419 0.290 0.400 0.174 0.258
NM_003481.2 835 802 0.572 0.707 0.508 0.601 0.395 0.719 0.158 0.268 0.165 0.237 0.223 0.364 0.241 0.337 0.116 0.364 0.172 0.354
NM_006410.4 242 236 0.479 0.483 0.478 0.570 0.372 0.496 0.194 0.298 0.252 0.178 0.182 0.223 0.236 0.331 0.252 0.393 0.190 0.273
NM_003457.3 478 445 0.483 0.243 0.592 0.611 0.544 0.295 0.105 0.201 0.337 0.341 0.372 0.096 0.285 0.255 0.368 0.270 0.172 0.199
NM_004639.3 1132 1096 0.598 0.569 0.612 0.690 0.522 0.583 0.108 0.234 0.261 0.350 0.335 0.268 0.202 0.244 0.156 0.340 0.187 0.315
NM_021934.4 218 209 0.578 0.794 0.476 0.578 0.353 0.803 0.174 0.307 0.138 0.220 0.188 0.362 0.248 0.339 0.060 0.358 0.165 0.440
NM_021215.3 326 320 0.495 0.516 0.485 0.595 0.365 0.525 0.172 0.252 0.221 0.270 0.236 0.233 0.233 0.383 0.255 0.325 0.129 0.291
NM_013318.3 2229 2161 0.594 0.640 0.572 0.616 0.514 0.651 0.150 0.172 0.185 0.284 0.280 0.312 0.234 0.314 0.165 0.333 0.234 0.338
NM_032127.3 986 960 0.602 0.617 0.596 0.688 0.493 0.627 0.148 0.277 0.233 0.351 0.271 0.304 0.164 0.230 0.140 0.337 0.222 0.323
NM_020218.1 354 341 0.518 0.633 0.463 0.480 0.427 0.647 0.195 0.206 0.218 0.209 0.218 0.347 0.325 0.367 0.136 0.271 0.209 0.299
NM_015038.1 1427 1400 0.524 0.433 0.568 0.631 0.498 0.444 0.150 0.221 0.274 0.207 0.382 0.207 0.219 0.281 0.282 0.423 0.116 0.236
NM_022489.3 1249 1221 0.653 0.806 0.579 0.683 0.465 0.810 0.110 0.247 0.098 0.335 0.282 0.411 0.207 0.287 0.091 0.348 0.183 0.400
NM_012412.4 128 127 0.531 0.504 0.545 0.609 0.477 0.508 0.086 0.234 0.320 0.227 0.266 0.211 0.305 0.289 0.172 0.383 0.211 0.297
NM_001689.4 142 138 0.491 0.420 0.524 0.507 0.528 0.437 0.225 0.324 0.359 0.141 0.310 0.225 0.268 0.148 0.204 0.366 0.218 0.211
NM_004491.4 1499 1459 0.477 0.529 0.453 0.526 0.364 0.542 0.167 0.278 0.268 0.239 0.204 0.272 0.307 0.358 0.191 0.288 0.160 0.270
NM_001099402.1 580 558 0.558 0.523 0.574 0.647 0.486 0.541 0.153 0.209 0.200 0.398 0.362 0.302 0.200 0.305 0.259 0.248 0.124 0.240
NM_003969.3 183 179 0.556 0.810 0.432 0.530 0.322 0.814 0.169 0.284 0.126 0.251 0.158 0.404 0.301 0.393 0.060 0.279 0.164 0.410
NM_173620.2 585 557 0.632 0.720 0.592 0.626 0.538 0.733 0.183 0.251 0.121 0.311 0.291 0.361 0.191 0.210 0.145 0.315 0.248 0.373
NM_053041.2 200 191 0.498 0.586 0.457 0.535 0.355 0.605 0.160 0.330 0.210 0.240 0.185 0.265 0.305 0.315 0.185 0.295 0.170 0.340
NM_016068.2 152 147 0.572 0.782 0.472 0.612 0.316 0.789 0.145 0.309 0.092 0.217 0.158 0.329 0.243 0.375 0.118 0.395 0.158 0.461
NM_020151.3 370 346 0.537 0.595 0.510 0.586 0.403 0.622 0.176 0.273 0.230 0.268 0.195 0.270 0.238 0.324 0.149 0.319 0.208 0.351
NM_014247.2 1499 1447 0.455 0.407 0.477 0.526 0.410 0.428 0.162 0.256 0.287 0.222 0.237 0.203 0.312 0.334 0.286 0.304 0.172 0.225
NM_021241.2 794 776 0.659 0.737 0.621 0.683 0.550 0.743 0.127 0.200 0.123 0.341 0.319 0.404 0.190 0.249 0.134 0.341 0.232 0.339
NM_152440.4 445 430 0.509 0.619 0.457 0.535 0.362 0.631 0.191 0.303 0.229 0.249 0.222 0.324 0.274 0.335 0.139 0.285 0.139 0.308
NM_019557.5 292 283 0.525 0.534 0.521 0.545 0.483 0.548 0.175 0.260 0.257 0.233 0.301 0.274 0.281 0.257 0.195 0.312 0.182 0.274
NM_001987.4 452 432 0.532 0.609 0.497 0.566 0.405 0.626 0.164 0.243 0.199 0.341 0.241 0.319 0.270 0.352 0.175 0.226 0.164 0.308
NM_005138.2 266 258 0.632 0.740 0.580 0.692 0.455 0.748 0.135 0.263 0.158 0.350 0.218 0.368 0.173 0.282 0.094 0.342 0.237 0.380
